127.0.0.1 - - [26/Apr/2024:12:07:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/index.do HTTP/1.1" 200 29469
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/assets/plugins/font-awesome/v6/fontawesome.css HTTP/1.1" 200 100808
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/assets/styles/main.css HTTP/1.1" 200 89487
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/assets/plugins/jquery/jquery.min.js HTTP/1.1" 200 173593
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/assets/plugins/font-awesome/v6/solid.css HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/assets/plugins/font-awesome/v6/brands.css HTTP/1.1" 200 23974
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/assets/plugins/swiper/swiper-bundle.css HTTP/1.1" 200 20067
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/assets/plugins/swiper/swiper-bundle.js HTTP/1.1" 200 350309
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/assets/plugins/shufflejs/shuffle.js HTTP/1.1" 200 61731
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/assets/scripts/main.js HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/images/banner-img.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/asset/images/icons/feature-icon-1.svg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/asset/images/icons/feature-icon-3.svg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/asset/images/icons/feature-icon-2.svg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/images/icons/feature-icon-4.svg HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/images/logo.svg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:07:52 +0900] "GET /good/images/icons/feature-icon-5.svg HTTP/1.1" 404 855
